band,theme,pain_density,n_evidence,avg_relevance_pct,worst_satisfaction,best_pos_sat,under_served_factor,meshnode_solve,gap_score
A · sub-€90 (入门),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483
A · sub-€90 (入门),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103
A · sub-€90 (入门),throughput_wired_bottleneck,17.45390394077556,8,5.653112396808002,-1.2592592592592593,1.875,0.0625,0.5,0.5454344981492363
A · sub-€90 (入门),coverage_dead_zone,13.857623326075075,8,8.264494105859173,-1.3375,1.875,0.0625,0.6,0.5196608747278153
A · sub-€90 (入门),vpn_cgnat_block,4.420487724598189,2,10.40994933210502,-1.0616016427104722,1.875,0.0625,1.0,0.2762804827873868
A · sub-€90 (入门),value_disappointment,4.985347874569432,4,5.1316171076650114,-1.34375,1.875,0.0625,0.8,0.24926739372847162
A · sub-€90 (入门),firmware_lifecycle,3.3824466760154914,4,3.236411078113772,-1.4653465346534653,1.875,0.0625,0.9,0.1902626255258714
A · sub-€90 (入门),vendor_lockin_extension,1.0840108401084012,2,2.032520325203252,-1.3333333333333333,1.875,0.0625,0.8,0.054200542005420065
A · sub-€90 (入门),setup_app_complex,1.1111111111111112,2,2.7777777777777777,-1.0,1.875,0.0625,0.4,0.02777777777777778
A · sub-€90 (入门),own_brand_specific,4.62422129388238,2,10.22332506203474,-1.130801687763713,1.875,0.0625,-0.5,-0.14450691543382438
B · €90-150 (中低),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483
B · €90-150 (中低),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103
B · €90-150 (中低),coverage_dead_zone,13.857623326075075,8,8.264494105859173,-1.3375,1.875,0.0625,0.6,0.5196608747278153
B · €90-150 (中低),vpn_cgnat_block,4.420487724598189,2,10.40994933210502,-1.0616016427104722,1.875,0.0625,1.0,0.2762804827873868
B · €90-150 (中低),value_disappointment,4.985347874569432,4,5.1316171076650114,-1.34375,1.875,0.0625,0.8,0.24926739372847162
B · €90-150 (中低),throughput_wired_bottleneck,7.732182703712075,6,5.932851268531429,-1.2592592592592593,1.875,0.0625,0.5,0.24163070949100235
B · €90-150 (中低),firmware_lifecycle,3.3824466760154914,4,3.236411078113772,-1.4653465346534653,1.875,0.0625,0.9,0.1902626255258714
B · €90-150 (中低),vendor_lockin_extension,1.0840108401084012,2,2.032520325203252,-1.3333333333333333,1.875,0.0625,0.8,0.054200542005420065
B · €90-150 (中低),setup_app_complex,1.1111111111111112,2,2.7777777777777777,-1.0,1.875,0.0625,0.4,0.02777777777777778
B · €90-150 (中低),own_brand_specific,4.62422129388238,2,10.22332506203474,-1.130801687763713,1.875,0.0625,-0.5,-0.14450691543382438
C · €150-220 (中价),stability_handoff,61.28804622295048,20,7.148137374126667,-1.6382978723404256,1.875,0.0625,0.7,2.6813520222540834
C · €150-220 (中价),coverage_dead_zone,64.2444578395815,10,10.920538374118232,-1.3375,1.875,0.0625,0.6,2.409167168984306
C · €150-220 (中价),setup_app_complex,29.630107393549586,6,5.193592740663548,-1.4565217391304348,1.875,0.0625,0.4,0.7407526848387397
C · €150-220 (中价),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103
C · €150-220 (中价),vpn_cgnat_block,4.420487724598189,2,10.40994933210502,-1.0616016427104722,1.875,0.0625,1.0,0.2762804827873868
C · €150-220 (中价),value_disappointment,4.985347874569432,4,5.1316171076650114,-1.34375,1.875,0.0625,0.8,0.24926739372847162
C · €150-220 (中价),throughput_wired_bottleneck,7.732182703712075,6,5.932851268531429,-1.2592592592592593,1.875,0.0625,0.5,0.24163070949100235
C · €150-220 (中价),firmware_lifecycle,3.3824466760154914,4,3.236411078113772,-1.4653465346534653,1.875,0.0625,0.9,0.1902626255258714
C · €150-220 (中价),competitor_specific_orbi,6.8676842870391255,2,2.4813895781637716,-1.3838383838383839,1.875,0.0625,0.3,0.1287690803819836
C · €150-220 (中价),vendor_lockin_extension,1.0840108401084012,2,2.032520325203252,-1.3333333333333333,1.875,0.0625,0.8,0.054200542005420065
C · €150-220 (中价),own_brand_specific,4.62422129388238,2,10.22332506203474,-1.130801687763713,1.875,0.0625,-0.5,-0.14450691543382438
D · €220-330 (高端),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483
D · €220-330 (高端),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103
D · €220-330 (高端),coverage_dead_zone,16.68288189983664,10,8.048721033190333,-1.3375,1.875,0.0625,0.6,0.625608071243874
D · €220-330 (高端),vpn_cgnat_block,4.420487724598189,2,10.40994933210502,-1.0616016427104722,1.875,0.0625,1.0,0.2762804827873868
D · €220-330 (高端),value_disappointment,4.985347874569432,4,5.1316171076650114,-1.34375,1.875,0.0625,0.8,0.24926739372847162
D · €220-330 (高端),throughput_wired_bottleneck,7.732182703712075,6,5.932851268531429,-1.2592592592592593,1.875,0.0625,0.5,0.24163070949100235
D · €220-330 (高端),firmware_lifecycle,3.3824466760154914,4,3.236411078113772,-1.4653465346534653,1.875,0.0625,0.9,0.1902626255258714
D · €220-330 (高端),vendor_lockin_extension,1.0840108401084012,2,2.032520325203252,-1.3333333333333333,1.875,0.0625,0.8,0.054200542005420065
D · €220-330 (高端),setup_app_complex,1.1111111111111112,2,2.7777777777777777,-1.0,1.875,0.0625,0.4,0.02777777777777778
D · €220-330 (高端),own_brand_specific,4.62422129388238,2,10.22332506203474,-1.130801687763713,1.875,0.0625,-0.5,-0.14450691543382438
E · €330+ (顶级),stability_handoff,27.934008999441108,16,7.132774746488499,-1.6382978723404256,1.875,0.0625,0.7,1.2221128937255483
E · €330+ (顶级),coverage_dead_zone,25.158657621121346,12,7.904872318077771,-1.3375,1.875,0.0625,0.6,0.9434496607920504
E · €330+ (顶级),subscription_paywall,10.011031600331364,4,8.547877145438122,-1.5161290322580645,1.875,0.0625,1.0,0.6256894750207103
E · €330+ (顶级),vpn_cgnat_block,4.420487724598189,2,10.40994933210502,-1.0616016427104722,1.875,0.0625,1.0,0.2762804827873868
E · €330+ (顶级),value_disappointment,4.985347874569432,4,5.1316171076650114,-1.34375,1.875,0.0625,0.8,0.24926739372847162
E · €330+ (顶级),throughput_wired_bottleneck,7.732182703712075,6,5.932851268531429,-1.2592592592592593,1.875,0.0625,0.5,0.24163070949100235
E · €330+ (顶级),firmware_lifecycle,3.3824466760154914,4,3.236411078113772,-1.4653465346534653,1.875,0.0625,0.9,0.1902626255258714
E · €330+ (顶级),vendor_lockin_extension,1.0840108401084012,2,2.032520325203252,-1.3333333333333333,1.875,0.0625,0.8,0.054200542005420065
E · €330+ (顶级),setup_app_complex,1.1111111111111112,2,2.7777777777777777,-1.0,1.875,0.0625,0.4,0.02777777777777778
E · €330+ (顶级),own_brand_specific,4.62422129388238,2,10.22332506203474,-1.130801687763713,1.875,0.0625,-0.5,-0.14450691543382438
